Data,Impressions,Link Clicks
13/03/2022,60,4
13/03/2022,120,1
13/03/2022,41,
13/03/2022,127,1
13/03/2022,85,1
13/03/2022,73347,2872
13/03/2022,39425,1529
13/03/2022,11919,437
13/03/2022,21783,660
13/03/2022,87320,2968
13/03/2022,19645,255
13/03/2022,135,1
13/03/2022,1046,40
13/03/2022,1399,15
13/03/2022,815,10
13/03/2022,123,3
13/03/2022,1941,59
13/03/2022,1776,11
13/03/2022,998,3
13/03/2022,12494,41
13/03/2022,2517,45
13/03/2022,3629,18
13/03/2022,136,
13/03/2022,192,3
13/03/2022,33,
14/03/2022,91,
14/03/2022,204,6
14/03/2022,220,2
14/03/2022,511,14
14/03/2022,212,2
14/03/2022,802,14
14/03/2022,1235,40
14/03/2022,1197,26
14/03/2022,493,10
14/03/2022,291,2
14/03/2022,264,4
14/03/2022,8559,116
14/03/2022,18405,130
14/03/2022,2610,53
14/03/2022,759,8
14/03/2022,1555,34
14/03/2022,232,2
14/03/2022,3165,21
14/03/2022,317,3
14/03/2022,3886,27
14/03/2022,2027,36
14/03/2022,3237,73
14/03/2022,597,4
14/03/2022,324,2
14/03/2022,3518,40
14/03/2022,2502,68
14/03/2022,177,2
14/03/2022,1234,35
14/03/2022,225,7
14/03/2022,1293,41
14/03/2022,1152,43
14/03/2022,78,5
14/03/2022,179,5
14/03/2022,56,2
14/03/2022,171,1
14/03/2022,86,4
14/03/2022,75781,2976
14/03/2022,21281,733
14/03/2022,10662,351
14/03/2022,20545,660
14/03/2022,79882,2469
14/03/2022,66416,823
14/03/2022,189,
14/03/2022,852,30
14/03/2022,1237,11
14/03/2022,803,8
14/03/2022,262,3
14/03/2022,1981,51
14/03/2022,2452,15
14/03/2022,824,7
14/03/2022,9876,30
14/03/2022,1546,41
14/03/2022,3323,15
14/03/2022,129,
14/03/2022,7976,118
14/03/2022,11639,220
14/03/2022,84741,1114
14/03/2022,7769,108
14/03/2022,19497,404
14/03/2022,1731,31
14/03/2022,1013,10
14/03/2022,7031,91
15/03/2022,52,1
15/03/2022,103,4
15/03/2022,92,1
15/03/2022,507,14
15/03/2022,153,6
15/03/2022,494,9
15/03/2022,1141,35
15/03/2022,794,28
15/03/2022,558,18
15/03/2022,511,11
15/03/2022,477,13
15/03/2022,8482,132
15/03/2022,18346,204
15/03/2022,1866,60
15/03/2022,667,12
15/03/2022,963,27
15/03/2022,1941,19
15/03/2022,5128,39
15/03/2022,2403,56
15/03/2022,3759,52
15/03/2022,113,
15/03/2022,46,
15/03/2022,314,5
15/03/2022,94,
15/03/2022,342,3
15/03/2022,886,13
15/03/2022,962,22
15/03/2022,54,1
15/03/2022,328,9
15/03/2022,69,
15/03/2022,400,7
15/03/2022,405,16
15/03/2022,16,
15/03/2022,30,1
15/03/2022,12,
15/03/2022,43,
15/03/2022,33,1
15/03/2022,31288,1515
15/03/2022,6110,157
15/03/2022,6180,195
15/03/2022,7671,156
15/03/2022,23939,610
15/03/2022,30819,386
15/03/2022,33,
15/03/2022,209,7
15/03/2022,365,1
15/03/2022,476,1
15/03/2022,43,2
15/03/2022,415,22
15/03/2022,1319,13
15/03/2022,179,
15/03/2022,16859,63
15/03/2022,403,9
15/03/2022,2387,14
15/03/2022,28,
15/03/2022,1921,30
15/03/2022,5311,121
15/03/2022,39979,513
15/03/2022,1712,30
15/03/2022,6746,149
15/03/2022,489,12
15/03/2022,209,
15/03/2022,2252,37
15/03/2022,35606,136
15/03/2022,56,
15/03/2022,442,3
15/03/2022,7121,48
15/03/2022,75,1
15/03/2022,7070,37
15/03/2022,34987,153
15/03/2022,72992,259
15/03/2022,1430,12
16/03/2022,69,1
16/03/2022,127,3
16/03/2022,71,1
16/03/2022,532,13
16/03/2022,179,1
16/03/2022,385,9
16/03/2022,1013,40
16/03/2022,596,17
16/03/2022,452,11
16/03/2022,136,2
16/03/2022,122,2
16/03/2022,2938,27
16/03/2022,7010,66
16/03/2022,2680,88
16/03/2022,1079,22
16/03/2022,1357,22
16/03/2022,355,4
16/03/2022,635,8
16/03/2022,378,6
16/03/2022,480,4
16/03/2022,507,9
16/03/2022,190,4
16/03/2022,388,7
16/03/2022,8560,293
16/03/2022,10116,347
16/03/2022,20,
16/03/2022,51,
16/03/2022,359,7
16/03/2022,442,10
16/03/2022,19,
16/03/2022,185,7
16/03/2022,17,1
16/03/2022,226,10
16/03/2022,172,4
16/03/2022,6,
16/03/2022,16,1
16/03/2022,3,
16/03/2022,10,
16/03/2022,8,1
16/03/2022,18931,1049
16/03/2022,3835,131
16/03/2022,2499,59
16/03/2022,3716,131
16/03/2022,12493,428
16/03/2022,25168,339
16/03/2022,19,
16/03/2022,138,6
16/03/2022,331,3
16/03/2022,459,6
16/03/2022,26,
16/03/2022,229,5
16/03/2022,1267,10
16/03/2022,93,1
16/03/2022,7448,23
16/03/2022,229,6
16/03/2022,2816,14
16/03/2022,8,
16/03/2022,1590,19
16/03/2022,4263,96
16/03/2022,34444,438
16/03/2022,1603,21
16/03/2022,4755,96
16/03/2022,357,12
16/03/2022,155,1
16/03/2022,1129,14
16/03/2022,4670,20
16/03/2022,4776,42
16/03/2022,13376,65
16/03/2022,50319,363
16/03/2022,1838,10
16/03/2022,1118,7
16/03/2022,94319,532
16/03/2022,12705,45
16/03/2022,10073,83
17/03/2022,42,
17/03/2022,125,1
17/03/2022,89,
17/03/2022,497,13
17/03/2022,175,7
17/03/2022,311,4
17/03/2022,1225,54
17/03/2022,703,22
17/03/2022,549,16
17/03/2022,305,8
17/03/2022,194,4
17/03/2022,7403,120
